Two axis displacement sensor detected
Tareing....
time(us),power(pwm/255),position(deg),force(grams)
36395916,25,8.17,-2.19,17.58
36456972,25,8.17,-2.19,17.60
36518012,25,8.17,-2.19,17.66
36579048,25,8.71,-2.19,17.58
36640108,25,8.71,-2.19,17.57
36701144,25,8.71,-2.19,17.49
36762200,25,8.71,-2.19,17.67
36823252,25,8.71,-2.19,17.59
36884292,25,8.71,-2.19,17.74
36945328,25,8.71,-2.19,17.69
37006372,25,8.71,-2.19,17.81
37067404,25,8.71,-2.19,17.62
37128452,25,8.71,-2.19,17.78
37189484,25,8.71,-2.19,17.75
37250528,25,8.71,-2.19,17.75
37311568,25,8.71,-2.19,17.75
37372600,25,8.71,-2.19,17.71
37433648,25,8.71,-2.19,17.74
37494684,25,8.71,-2.19,17.92
37555728,25,8.71,-2.19,17.91
37616776,25,8.71,-2.19,18.03
37677812,25,8.71,-2.19,18.04
37738860,25,8.71,-2.19,17.85
37799908,25,8.71,-2.19,17.94
37860952,25,8.71,-2.19,17.83
37921988,25,8.71,-2.19,17.95
37983028,25,8.71,-2.19,17.99
38044072,25,8.71,-2.19,17.96
38105112,25,8.71,-2.19,17.96
38166148,25,8.71,-2.19,18.09
38227196,25,8.71,-2.19,18.07
38288232,25,8.71,-2.19,18.02
38349272,25,8.71,-2.19,18.21
38410316,25,8.71,-2.19,17.97
38471356,25,8.71,-2.19,18.06
38532412,25,8.71,-2.19,17.99
38593448,25,8.71,-2.19,18.10
38654492,25,8.71,-2.19,18.23
38715540,25,8.71,-2.19,18.08
38776572,25,8.71,-2.19,18.29
38837624,25,8.71,-2.19,18.11
38898652,25,8.71,-2.19,18.14
38959700,25,8.71,-2.19,18.18
39020748,25,8.71,-2.19,18.36
39081784,25,8.71,-2.19,18.44
39142836,25,9.25,-2.19,18.41
39203876,25,9.25,-2.19,18.46
39264916,25,9.25,-2.19,18.19
39325956,25,9.25,-2.19,18.41
39386984,25,9.25,-2.19,18.47
39448016,25,9.25,-2.19,18.53
39509044,25,9.25,-2.19,18.39
39570060,25,9.25,-2.19,18.43
39631092,25,9.25,-2.19,18.53
39692120,25,9.25,-2.19,18.36
39753156,25,9.25,-2.19,18.51
39814180,25,9.25,-2.19,18.53
39875200,25,9.25,-2.19,18.60
39936232,25,9.25,-2.19,18.49
39997264,25,9.25,-2.19,18.66
40058296,25,9.25,-2.19,18.61
40119320,25,9.25,-2.19,18.65
40180348,25,9.25,-2.19,18.64
40241384,25,9.25,-2.19,18.72
40302420,25,9.25,-2.19,18.65
40363476,25,9.25,-2.19,18.71
40424524,25,9.25,-2.19,18.71
40485560,25,9.25,-2.19,18.75
40546612,25,9.25,-2.19,18.81
40607628,25,9.25,-2.19,18.76
40668660,25,9.25,-2.19,18.73
40729692,25,9.25,-2.19,18.74
40790712,25,9.25,-2.19,18.91
40851752,25,9.25,-2.19,18.68
40912788,25,9.25,-2.19,18.80
40973828,25,9.25,-2.19,18.89
41034856,25,9.25,-2.19,19.00
41095872,25,9.25,-2.19,18.77
41156924,25,9.25,-2.19,18.97
41217964,25,9.25,-2.19,18.96
41279012,25,9.25,-2.19,18.99
41340056,25,9.25,-2.19,18.98
41401092,25,9.25,-2.19,18.96
41462132,25,9.25,-2.19,19.06
41523156,25,9.25,-2.19,18.91
41584212,25,9.25,-2.19,19.00
41645252,25,9.25,-2.19,19.11
41706284,25,9.25,-2.19,19.10
41767344,25,9.25,-2.19,19.18
41828396,25,9.25,-2.19,18.90
41889436,25,9.25,-2.19,19.13
41950476,25,9.76,-2.19,19.26
42011520,25,9.76,-2.19,19.13
42072568,25,9.76,-2.19,19.14
42133612,25,9.76,-2.19,19.22
42194652,25,9.76,-2.19,19.03
42255696,25,9.76,-2.19,19.30
42316728,25,9.76,-2.19,19.03
42377772,25,9.76,-2.19,19.40
42438820,25,9.76,-2.19,19.22
42499852,25,9.76,-2.19,19.25
42560908,25,9.76,-2.19,19.31
42621940,25,9.76,-2.19,19.28
42682980,25,9.76,-2.19,19.18
42744016,25,9.76,-2.19,19.10
42805032,25,9.76,-2.19,19.28
42866076,25,9.76,-2.19,19.32
42927100,25,9.76,-2.19,19.33
42988136,25,9.76,-2.19,19.34
43049168,25,9.76,-2.19,19.34
43110196,25,9.76,-2.19,19.22
43171232,25,9.76,-2.19,19.42
43232260,25,9.76,-2.19,19.39
43293288,25,9.76,-2.19,19.32
43354328,25,9.76,-2.19,19.32
43415344,25,9.76,-2.19,19.22
43476392,25,9.76,-2.19,19.36
43537432,25,9.76,-2.19,19.39
43598460,25,9.76,-2.19,19.49
43659504,25,9.76,-2.19,19.53
43720540,25,9.76,-2.19,19.38
43781580,25,9.76,-2.19,19.37
43842616,25,9.76,-2.19,19.35
43903648,25,9.76,-2.19,19.48
43964692,25,9.76,-2.19,19.62
44025716,25,10.26,-2.19,19.41
44086768,25,10.26,-2.19,19.36
44147808,25,10.26,-2.19,19.40
44208836,25,10.26,-2.19,19.65
